City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Lazaro Cardenas,MX,17.9583,-102.2,76.5,86,81,5.17,broken clouds
274,Alofi,NU,-19.0595,-169.9187,82.29,65,75,18.41,broken clouds
275,Mandera,KE,3.9366,41.867,77.22,61,5,10.83,clear sky
276,Voyvozh,RU,62.892,54.9635,-3.12,99,76,2.8,broken clouds
277,Buchanan,LR,5.8808,-10.0467,78.15,85,52,3.51,light rain
278,Boa Vista,BR,2.8197,-60.6733,78.78,78,75,8.05,broken clouds
279,La Rioja,ES,42.25,-2.5,37.49,97,100,10.25,overcast clouds
280,Los Llanos De Aridane,ES,28.6585,-17.9182,62.13,74,75,15.01,broken clouds
281,Kidal,ML,18.4411,1.4078,68.79,17,1,6.26,clear sky
282,Liepaja,LV,56.5419,21.0367,17.65,86,90,13.8,overcast clouds
283,Mirik,IN,26.8945,88.1848,60.78,61,0,4.54,clear sky
284,Brewster,US,41.3973,-73.6171,47.71,71,75,4.61,broken clouds
285,Yaan,NG,7.3833,8.5667,74.95,48,100,4.03,overcast clouds
286,Vardo,NO,70.3705,31.1107,14.2,82,82,19.55,light snow
287,Paamiut,GL,61.994,-49.6678,24.28,65,100,16.08,light snow
288,Pochutla,MX,15.7432,-96.4661,76.82,78,0,3.71,clear sky
289,Noumea,NC,-22.2763,166.4572,87.78,99,92,11.07,overcast clouds
290,Dosso,NE,13.049,3.1937,70.36,20,2,9.08,clear sky
291,Jahangirpur,IN,28.1833,77.7167,69.6,49,58,6.22,broken clouds
292,Teknaf,BD,20.8624,92.3058,80.96,74,68,9.26,broken clouds
293,Townsville,AU,-19.25,146.8,86.88,66,20,19.57,few clouds
294,Husavik,IS,66.0449,-17.3389,39.11,79,100,23.49,overcast clouds
295,Nanortalik,GL,60.1432,-45.2371,26.37,60,100,38.56,light snow
296,Male,MV,4.1748,73.5089,85.95,70,20,10.36,few clouds
297,Cassilandia,BR,-19.1133,-51.7342,73.26,80,47,1.88,scattered clouds
298,Tiksi,RU,71.6872,128.8694,-20.65,96,100,8.16,overcast clouds
299,Lososina,RU,48.9975,140.3106,35.1,87,4,7.4,clear sky
300,Codrington,AU,-38.2667,141.9667,68.56,53,78,19.48,broken clouds
301,Askiz,RU,53.1319,90.5264,25.99,65,99,5.48,overcast clouds
302,Longfeng,CN,46.55,125.1167,26.94,76,4,12.26,clear sky
303,Tambovka,RU,50.0969,128.0489,15.91,88,12,5.46,few clouds
304,Matay,EG,28.419,30.7792,55.4,77,5,3.89,clear sky
305,Egvekinot,RU,66.3167,-179.1667,-1.55,82,94,20.31,overcast clouds
306,Bukan,IR,36.521,46.2089,38.84,45,95,2.19,overcast clouds
307,Lloydminster,CA,53.2835,-110.0016,-7.38,71,1,16.11,clear sky
308,Mar Del Plata,AR,-38.0023,-57.5575,63.88,84,20,14.0,few clouds
309,Pizarro,CO,4.9533,-77.366,75.96,93,100,5.28,moderate rain
310,Barentu,ER,15.1139,37.5928,66.96,53,0,3.94,clear sky
311,Nantucket,US,41.2835,-70.0995,46.96,67,90,13.8,overcast clouds
312,Meulaboh,ID,4.1363,96.1285,83.89,68,51,3.47,broken clouds
313,Mount Isa,AU,-20.7333,139.5,92.97,33,97,11.5,overcast clouds
314,Bilibino,RU,68.0546,166.4372,-19.61,98,100,3.31,overcast clouds
315,Whitehorse,CA,60.7161,-135.0538,-8.63,80,75,11.99,fog
316,Upernavik,GL,72.7868,-56.1549,27.72,84,100,7.23,overcast clouds
317,Ossora,RU,59.2353,163.0719,15.87,77,70,10.36,broken clouds
318,Pangody,RU,65.85,74.4859,-24.21,99,13,9.75,few clouds
319,Tura,IN,25.5198,90.2201,67.84,79,100,3.85,overcast clouds
320,Kaeo,NZ,-35.1,173.7833,72.14,74,78,7.94,broken clouds
321,Cockburn Town,TC,21.4612,-71.1419,80.46,77,57,21.14,broken clouds
322,Kahului,US,20.8947,-156.47,73.85,93,90,23.02,heavy intensity rain
323,Mirnyy,RU,62.5353,113.9611,-22.77,67,16,13.0,few clouds
324,Dabakala,CI,8.3667,-4.4333,72.88,45,74,1.19,broken clouds
325,Puri,IN,19.8,85.85,75.72,85,100,8.57,overcast clouds
326,Maryborough,AU,-25.5333,152.7,81.1,56,86,8.99,overcast clouds
327,Vozhega,RU,60.4725,40.2213,-8.81,100,93,2.57,overcast clouds
328,Bambous Virieux,MU,-20.3428,57.7575,80.85,74,40,12.66,scattered clouds
329,Popondetta,PG,-8.7537,148.2534,90.5,54,47,7.34,scattered clouds
330,Nisia Floresta,BR,-6.0911,-35.2086,76.01,81,59,9.35,broken clouds
331,Novyy Urgal,RU,51.0736,132.5642,17.4,84,100,7.49,overcast clouds
332,Nizhniy Tsasuchey,RU,50.5167,115.1333,27.5,55,24,9.69,few clouds
333,Buala,SB,-8.145,159.5921,79.02,87,100,18.86,light rain
334,Saint-Pierre,RE,-21.3393,55.4781,83.84,63,0,8.05,clear sky
335,Necochea,AR,-38.5473,-58.7368,54.03,84,0,8.01,clear sky
336,Gizo,SB,-8.103,156.8419,83.98,70,100,2.1,light rain
337,Ahuimanu,US,21.4447,-157.8378,71.31,85,100,10.76,mist
338,Narsaq,GL,60.9167,-46.05,25.02,82,70,16.35,broken clouds
339,Neiafu,TO,-18.65,-173.9833,81.28,78,75,9.22,broken clouds
340,Mufumbwe,ZM,-13.6833,24.8,63.19,94,95,4.9,overcast clouds
341,Inhambane,MZ,-23.865,35.3833,80.58,83,20,6.91,few clouds
342,Luderitz,NA,-26.6481,15.1594,59.68,85,0,11.03,clear sky
343,Victor Harbor,AU,-35.5667,138.6167,82.18,70,22,7.0,few clouds
344,Oranjemund,NA,-28.55,16.4333,60.12,92,4,5.12,clear sky
345,Jacareacanga,BR,-6.2222,-57.7528,73.11,97,100,0.65,overcast clouds
346,Chelno-Vershiny,RU,54.4333,51.1,23.9,91,36,5.84,scattered clouds
