City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Berdigestyakh,RU,2021-12-04 05:34:39,62.0989,126.6992,-12.05,95,100,11.7
101,Hithadhoo,MV,2021-12-04 05:34:39,-0.6,73.0833,82.33,75,25,11.77
102,Chiusi,IT,2021-12-04 05:34:40,43.016,11.9475,36.52,87,72,0.49
103,Flinders,AU,2021-12-04 05:34:40,-34.5833,150.8552,67.17,80,98,13.38
104,Bambous Virieux,MU,2021-12-04 05:34:41,-20.3428,57.7575,84.45,70,40,8.05
105,Tasiilaq,GL,2021-12-04 05:34:42,65.6145,-37.6368,23.16,57,4,7.07
106,Marrakesh,MA,2021-12-04 05:34:42,31.6315,-8.0083,39.27,87,0,3.44
107,Rincon,US,2021-12-04 05:34:43,32.296,-81.2354,59.86,82,1,4.61
108,Namatanai,PG,2021-12-04 05:34:43,-3.6667,152.4333,84.0,71,48,9.66
109,Urengoy,RU,2021-12-04 05:34:44,65.9667,78.3667,-15.52,93,100,6.42
110,Port Augusta,AU,2021-12-04 05:34:44,-32.5,137.7667,85.71,38,62,19.66
111,Kimbe,PG,2021-12-04 05:34:45,-5.5502,150.1429,83.41,79,99,1.48
112,Dire,ML,2021-12-04 05:34:46,12.2833,-10.9667,71.6,29,88,1.16
113,Skaudvile,LT,2021-12-04 05:34:47,55.4167,22.6167,28.89,89,100,8.86
114,Fasa,IR,2021-12-04 05:34:47,28.9383,53.6482,47.44,66,0,0.0
115,Zhezkazgan,KZ,2021-12-04 05:32:40,47.8043,67.7144,27.19,73,52,6.78
116,Kingman,US,2021-12-04 05:34:48,35.1894,-114.053,57.18,33,1,0.0
117,Yelizovo,RU,2021-12-04 05:34:49,53.1873,158.3805,32.14,100,90,4.0
118,Ronne,DK,2021-12-04 05:34:49,55.1009,14.7066,42.71,93,90,23.02
119,Sirvintos,LT,2021-12-04 05:34:50,55.05,24.95,31.62,93,100,8.99
120,Mackenzie,CA,2021-12-04 05:34:51,55.2999,-123.1698,23.22,68,90,10.36
121,Guisa,CU,2021-12-04 05:34:53,20.255,-76.5386,70.11,96,77,3.44
122,Esperance,AU,2021-12-04 05:34:54,-33.8667,121.9,73.24,56,0,21.05
123,Nisia Floresta,BR,2021-12-04 05:34:54,-6.0911,-35.2086,80.98,89,88,6.93
124,Torbay,CA,2021-12-04 05:34:55,47.6666,-52.7314,41.68,88,90,23.02
125,Narsaq,GL,2021-12-04 05:34:56,60.9167,-46.05,21.42,80,100,15.97
126,Salalah,OM,2021-12-04 05:34:56,17.0151,54.0924,80.69,36,0,5.75
127,Shimoda,JP,2021-12-04 05:34:57,34.6667,138.95,57.56,59,1,28.39
128,Sur,OM,2021-12-04 05:34:57,22.5667,59.5289,79.07,39,0,0.69
129,Clyde River,CA,2021-12-04 05:34:58,70.4692,-68.5914,8.83,85,90,14.97
130,Mokhsogollokh,RU,2021-12-04 05:34:58,61.4681,128.9203,-13.83,89,88,8.84
131,Vila,PT,2021-12-04 05:34:59,42.0304,-8.1588,47.32,96,100,6.62
132,San Rafael,AR,2021-12-04 05:30:35,-34.6177,-68.3301,57.11,79,100,12.1
133,Hualmay,PE,2021-12-04 05:35:00,-11.0964,-77.6139,65.59,89,100,8.86
134,San Cristobal,VE,2021-12-04 05:35:01,7.7669,-72.225,69.98,85,96,1.5
135,Hamilton,US,2021-12-04 05:30:16,39.1834,-84.5333,45.45,74,1,1.01
136,San Gavino Monreale,IT,2021-12-04 05:35:02,39.5514,8.7917,46.45,80,27,6.51
137,Castro,BR,2021-12-04 05:35:03,-24.7911,-50.0119,58.77,86,90,9.01
138,Kavaratti,IN,2021-12-04 05:32:05,10.5669,72.642,81.43,73,92,1.7
139,Isangel,VU,2021-12-04 05:36:03,-19.55,169.2667,86.11,62,75,9.22
140,Cartagena,CO,2021-12-04 05:36:04,10.3997,-75.5144,78.42,89,0,6.91
141,Hasaki,JP,2021-12-04 05:36:05,35.7333,140.8333,61.09,41,0,1.45
142,Saint-Joseph,RE,2021-12-04 05:36:05,-21.3667,55.6167,84.56,76,14,8.23
143,Road Town,VG,2021-12-04 05:36:05,18.4167,-64.6167,80.01,76,1,16.35
144,Khatanga,RU,2021-12-04 05:36:06,71.9667,102.5,-20.4,96,100,14.38
145,Sao Filipe,CV,2021-12-04 05:36:06,14.8961,-24.4956,74.61,71,100,10.8
146,Yar-Sale,RU,2021-12-04 05:36:07,66.8333,70.8333,-8.68,97,100,9.91
147,Bien Hoa,VN,2021-12-04 05:34:52,10.95,106.8167,84.18,58,63,5.86
148,Sinnamary,GF,2021-12-04 05:36:08,5.3833,-52.95,76.86,89,78,7.11
149,Barrow,US,2021-12-04 05:36:08,71.2906,-156.7887,-7.58,71,1,18.41
150,Obo,CF,2021-12-04 05:36:09,5.3998,26.4869,79.12,60,90,2.62
151,Olinda,BR,2021-12-04 05:36:10,-8.0089,-34.8553,82.13,78,75,8.05
152,Tuatapere,NZ,2021-12-04 05:36:10,-46.1333,167.6833,63.39,89,93,3.15
153,Mongomo,GQ,2021-12-04 05:36:10,1.6274,11.3135,67.95,97,100,0.58
154,Leningradskiy,RU,2021-12-04 05:36:11,69.3833,178.4167,-1.32,95,100,16.22
155,Polunochnoye,RU,2021-12-04 05:36:12,60.8697,60.4153,8.49,87,88,2.24
156,Arraial Do Cabo,BR,2021-12-04 05:36:12,-22.9661,-42.0278,70.25,79,2,2.84
157,Laguna,US,2021-12-04 05:36:13,38.421,-121.4238,57.02,96,90,3.44
158,Chimay,BE,2021-12-04 05:36:14,50.0486,4.3171,38.79,99,100,5.17
159,Marsh Harbour,BS,2021-12-04 05:36:14,26.5412,-77.0636,73.11,62,79,6.2
160,Pueblo Nuevo,MX,2021-12-04 05:36:15,23.3833,-105.3833,53.1,62,72,5.82
161,Skjervoy,NO,2021-12-04 05:36:15,70.0311,20.9714,21.07,78,0,23.06
162,Antofagasta,CL,2021-12-04 05:36:16,-23.65,-70.4,60.08,73,23,4.03
163,Fort Nelson,CA,2021-12-04 05:36:17,58.8053,-122.7002,-11.61,77,90,2.3
164,Lavrentiya,RU,2021-12-04 05:36:17,65.5833,-171.0,26.04,96,100,8.95
165,Victoria,HK,2021-12-04 05:32:14,22.2855,114.1577,71.04,41,60,3.0
166,Port Lincoln,AU,2021-12-04 05:36:18,-34.7333,135.8667,63.68,58,17,13.15
167,Fairbanks,US,2021-12-04 05:35:55,64.8378,-147.7164,-28.98,66,1,0.0
168,Muroto,JP,2021-12-04 05:36:19,33.2833,134.15,53.64,48,4,14.45
169,Sovetskiy,RU,2021-12-04 05:36:20,61.3614,63.5842,5.54,92,47,2.1
170,Straumen,NO,2021-12-04 05:36:20,63.8709,11.2999,27.95,67,46,18.19
